OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 10 (IS-10),2001-019A,2025-12-04T12:50:24.704160,0.99078419,0.0007804,8.6091,61.2371,219.0537,159.9231,0,U,26766,999,4365,0.0,-1.87e-06,0.0
OMNI-M1,2001-026A,2025-12-04T07:24:45.215424,3.92402654,0.0016903,44.9189,290.1513,357.2783,2.7328,0,U,26857,999,19792,0.0,-3.2e-07,0.0
USA 159 (DSP 21),2001-033A,2025-12-04T12:33:38.672064,1.0026423,0.0001824,12.6024,17.7867,261.8838,293.013,0,U,26880,999,3101,0.0,-2.94e-06,0.0
INTELSAT 902 (IS-902),2001-039A,2025-12-01T16:59:59.311968,1.00270327,0.00043097,5.6187,74.2002,175.119,26.3816,0,U,26900,999,8871,0.0,-2.63e-06,0.0
PCSAT (NO-44),2001-043C,2025-12-04T11:51:08.027424,14.31848053,0.0007395,67.0519,27.8032,270.3916,89.6338,0,U,26931,999,26257,0.00019872,4.49e-06,0.0
PROBA-1,2001-049B,2025-12-04T18:58:08.058720,15.06383978,0.0057848,97.9588,335.6958,60.8255,299.8742,0,U,26958,999,31434,0.00039155,5.92e-05,0.0
TIMED,2001-055B,2025-12-04T06:39:34.849152,14.94638255,0.0001446,74.0695,267.2909,226.8909,133.2154,0,U,26998,999,30169,0.00037625,4.041e-05,0.0
MAROC-TUBSAT,2001-056D,2025-12-04T16:54:38.056032,13.70252316,0.0019096,99.7911,147.0089,281.5446,141.824,0,U,27004,999,19955,3.7734e-05,-1.3e-07,0.0
COSMOS 2385,2001-058B,2025-12-04T18:33:08.280864,12.60560126,0.0005376,82.538,344.1969,322.1638,161.584,0,U,27056,999,10128,0.00014971,3.7e-07,0.0
COSMOS 2386,2001-058C,2025-12-04T11:32:33.420768,12.61611347,0.0001385,82.544,338.8296,100.4381,259.6866,0,U,27057,999,10195,7.6368e-05,2.4e-07,0.0
USA 164 (MILSTAR-2 3),2002-001A,2025-12-03T19:13:38.940960,1.00276399,0.00967743,10.9451,23.0529,2.4,354.9141,0,U,27168,999,3099,0.0,1.07e-06,0.0
INTELSAT 904 (IS-904),2002-007A,2025-12-04T11:51:49.343904,1.0026902,0.0001665,6.4331,71.5255,205.7795,302.7127,0,U,27380,999,4981,0.0,-2.15e-06,0.0
AQUA,2002-022A,2025-12-04T18:14:38.180832,14.61779372,8.28e-05,98.4023,299.5099,110.854,7.4292,0,U,27424,999,25486,0.00050742,2.483e-05,0.0
DIRECTV 5 (TEMPO 1),2002-023A,2025-12-04T09:56:32.681760,1.00271251,0.0003839,4.3795,77.7499,191.2769,203.4731,0,U,27426,999,8617,0.0,-4.4e-07,0.0
INTELSAT 905 (IS-905),2002-027A,2025-12-03T09:40:44.149728,1.00273288,0.00031296,6.2606,72.1621,189.1417,179.1858,0,U,27438,999,4940,0.0,1.09e-06,0.0
GALAXY 3C (G-3C),2002-030A,2025-12-04T13:16:29.706240,1.00270508,0.0001286,3.2425,80.5894,100.4367,356.8628,0,U,27445,999,4454,0.0,-1.39e-06,0.0
COSMOS 2390,2002-036A,2025-12-04T18:01:45.968736,12.44618401,0.0024731,82.4822,106.5449,324.9917,34.9537,0,U,27464,999,6348,2.7359e-05,1.4e-07,0.0
COSMOS 2391,2002-036B,2025-12-04T17:42:30.667680,12.44940691,0.0025546,82.482,103.1653,319.1806,40.7361,0,U,27465,999,6365,1.7867e-05,1.2e-07,0.0
INTELSAT 906 (IS-906),2002-041A,2025-12-04T05:28:17.650848,1.002733,0.0006118,5.3074,75.3323,192.8955,311.2929,0,U,27513,999,8507,0.0,2.5e-07,0.0
LATINSAT B,2002-058B,2025-12-04T16:17:28.500576,14.76597006,0.0079953,64.5533,126.6081,308.4013,50.9928,0,U,27606,999,23337,0.00025886,1.761e-05,0.0
SAUDISAT 1C (SO-50),2002-058C,2025-12-04T17:02:12.526944,14.82337715,0.0071824,64.5544,10.4166,298.0779,61.3077,0,U,27607,999,23562,0.00048082,3.883e-05,0.0
LATINSAT A,2002-058H,2025-12-04T18:24:31.538016,14.84929183,0.005701,64.5534,205.1559,276.9863,82.4762,0,U,27612,999,23875,0.00025608,2.096e-05,0.0
NIMIQ 2,2002-062A,2025-12-04T10:08:16.457280,1.0027226,0.0006696,8.9956,58.926,196.8467,220.6083,0,U,27632,999,4223,0.0,-6.1e-07,0.0
CORIOLIS,2003-001A,2025-12-04T15:19:52.790016,14.1986745,0.001488,98.7143,343.4994,55.7856,304.4728,0,U,27640,999,18661,0.00012072,2.13e-06,0.0
