OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33676,2025-065E,2026-02-02T03:10:40.042560,15.27603404,0.00015152,43.0017,307.7433,258.141,101.9271,0,U,63403,999,4740,0.0011933335,0.00032745,0.0
STARLINK-33711,2025-065F,2026-02-02T02:39:12.902400,15.27615145,0.00010863,43.0002,307.5789,266.2592,93.8136,0,U,63404,999,4740,0.0008345504,0.00022798,0.0
STARLINK-33708,2025-065G,2026-02-02T03:16:12.973728,15.27600916,0.00014032,43.0003,307.7692,262.5666,97.5027,0,U,63405,999,4740,0.0009693367,0.00026525,0.0
STARLINK-33690,2025-065H,2026-02-02T02:32:30.420960,15.27595252,0.00013765,42.9995,304.0812,269.7946,90.2748,0,U,63406,999,4744,0.00065134346,0.00017713,0.0
STARLINK-33694,2025-065J,2026-02-02T03:05:06.825408,15.27590853,0.00011983,42.9987,307.7069,254.7648,105.3071,0,U,63407,999,4740,0.00045272201,0.00012221,0.0
STARLINK-33692,2025-065K,2026-02-02T04:07:21.376416,15.27606694,0.00012036,43.002,311.4908,245.865,114.2076,0,U,63408,999,4736,0.0018506766,0.00051059,0.0
STARLINK-33693,2025-065L,2026-02-02T03:31:01.076736,15.27603582,0.00014591,43.0022,307.8432,277.86,82.2087,0,U,63409,999,4740,0.00060335282,0.0001639,0.0
STARLINK-33677,2025-065M,2026-02-02T03:19:54.892992,15.27600495,0.00014537,42.9984,307.7835,245.6807,114.3893,0,U,63410,999,4740,0.00066277921,0.00018032,0.0
STARLINK-33647,2025-065N,2026-02-02T02:54:40.190400,15.27593566,0.00020121,42.997,315.4471,253.4951,106.568,0,U,63411,999,4731,0.00069212276,0.00018841,0.0
STARLINK-33645,2025-065P,2026-02-02T03:08:06.051840,15.27603341,0.00015057,43.0,311.1113,264.8853,95.1827,0,U,63412,999,4736,0.00073030083,0.00019903,0.0
