OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
STARLINK-5806,56007,15.20842552,0.0001859,43.0003,311.0131,267.3897,0.086341,0.02135507,0.0,0,-1,-0.10570538238195681,BSTAR,7.343707394923342
STARLINK-5968,56010,15.19313958,0.0001926,43.0003,311.0397,266.0752,0.090384,0.02138997,0.0,0,-1,-0.10868460410811231,BSTAR,7.696328868876322
STARLINK-5941,56013,15.17383247,0.000149,43.0002,311.1341,268.8486,0.050684,0.01118688,0.0,0,-1,-0.003165338234753734,BSTAR,4.23378310683495
STARLINK-5790,56036,15.25587976,0.0002726,42.9989,297.1868,263.5977,0.050781,0.01435084,0.0,0,-1,-0.020480013870214364,BSTAR,4.242243231240945
STARLINK-5800,56041,15.15874194,0.0001887,42.9996,285.2119,267.063,0.054209,0.01148766,0.0,0,-1,-0.0029787896431190397,BSTAR,4.541225772104366
STARLINK-6081,56108,15.22760622,0.0001929,43.0018,53.171,271.563,0.046113,0.01196258,0.0,0,-1,-0.0073640156914429045,BSTAR,3.835110646424594
STARLINK-6084,56111,15.19054546,7.77e-05,43.0006,53.4728,251.9791,0.049184,0.01140847,0.0,0,-1,-0.02279623957305832,BSTAR,4.102956440762857
STARLINK-6114,56116,15.2416547,0.0001955,43.0006,53.2398,276.4609,0.06357,0.01725358,0.0,0,-1,-0.055942350598949364,BSTAR,5.357671386171602
STARLINK-6104,56127,15.19190038,0.0001301,43.0,41.2438,240.5129,0.047538,0.01103902,0.0,0,-1,-0.025033472697439718,BSTAR,3.959395979193081
2023-048A,56157,13.45386942,0.0060144,63.4026,304.5987,354.4987,0.00012751,-1.4e-07,0.0,0,-1,-0.1768054215864957,ECCENTRICITY,12.511766190530693
BB 1,56171,13.8241196,0.0017242,81.0038,157.5552,156.3234,0.00014789,1.71e-06,0.0,3,-1,-0.008760103517761963,INCLINATION,1.5179467172847037
