OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE
COSMOS 2390,2002-036A,2026-04-10 12:26:40.618752,12.44621386,0.0026568,82.4882,27.2624,47.5328,312.7993,0,U,27464,999,7925,0.00036227,6.1e-07,0.0,6941.870111815674,7865.136259040642,1494.1362590406416,1466.2401650276224,1508.0323530536607,7.118846619969981,24.3,A,4,1,0.036736871226187184
COSMOS 2391,2002-036B,2026-04-10 13:15:57.015936,12.4494411,0.0027374,82.4882,23.8025,41.7607,318.5556,0,U,27465,999,7943,0.00028817,5.1e-07,0.0,6940.070586783209,7863.776959512672,1492.776959512672,1464.2506564637024,1507.3032625616415,7.119461860379906,24.3,B,4,1,0.04464249476654286
LATINSAT B,2002-058B,2026-04-10 09:07:27.247008,14.76934447,0.0086576,64.5526,98.4742,283.2082,75.9373,0,U,27606,999,25208,0.0001332,8.47e-06,0.0,5849.954964182645,7017.0883363592875,646.0883363592875,578.3371923784234,699.8394803401516,7.536753121030939,24.3,B,4,1,0.06683521378992902
SAUDISAT 1C (SO-50),2002-058C,2026-04-10 02:42:08.468064,14.82901689,0.00755243,64.5534,339.5831,274.8584,84.3902,0,U,27607,999,25436,0.00013096294,9.61e-06,0.0,5826.414565503944,6998.251035722225,627.2510357222254,567.3972346525052,673.1048367919457,7.546889701934737,24.3,C,4,1,0.04176664294698379
LATINSAT A,2002-058H,2026-04-10 10:15:14.299776,14.8535842,0.0055881,64.5544,172.0252,258.2231,101.2604,0,U,27612,999,25756,0.00012914,9.88e-06,0.0,5816.777879106108,6990.532331644512,619.5323316445119,573.4685379220491,651.5961253669748,7.551055059764898,24.3,H,4,1,0.09575357059605466
CORIOLIS,2003-001A,2026-04-10 11:31:05.488032,14.1992571,0.0014887,98.7154,108.3932,51.234,309.0164,0,U,27640,999,20461,8.5244e-05,1.38e-06,0.0,6084.825381463091,7203.673298155968,832.673298155968,814.9491897170028,836.3974065949324,7.4385066763924685,23.3,A,4,1,0.1457013479482961
SORCE,2003-004A,2026-04-09 23:45:57.015936,15.03347579,0.00185814,39.991,290.6549,282.0234,77.8478,0,U,27651,999,26163,0.00023015728,3.041e-05,0.0,5747.1739208488125,6934.654396755274,563.6543967552743,543.768838034488,569.5399554760606,7.5814163998061,23.3,A,4,1,0.07196186256377252
MOST,2003-031D,2026-04-10 11:44:37.939200,14.2130844,0.0011003,98.7073,109.1542,88.3805,271.8632,0,U,27843,999,18109,5.7533e-05,8.2e-07,0.0,6078.905715919059,7199.0004438292135,828.0004438292135,813.0793836408675,828.9215040175595,7.440920443394056,23.3,D,4,1,0.1551455635024086
CUTE-1 (CO-55),2003-031E,2026-04-10 10:58:58.826784,14.24293952,0.0010077,98.6767,109.8631,29.0721,331.1017,0,U,27844,999,18203,0.00016826,3.45e-06,0.0,6066.163510606552,7188.936876175717,817.9368761757169,803.692584485595,818.1811678658387,7.446126777765074,23.3,E,4,1,0.13107950468183954
CUBESAT XI-IV (CO-57),2003-031J,2026-04-10 11:34:51.157056,14.23584818,0.0010268,98.6797,109.6545,46.1868,314.0158,0,U,27848,999,18174,0.0001363,2.67e-06,0.0,6069.185264379519,7191.324040538053,820.3240405380529,805.9399890132281,820.7080920628778,7.444890802043346,23.3,J,4,1,0.14309830839888354
